category,age_range,photo_path,description
Sets,3–6 months,baby_clothes_photos/baby_clothes_photos\20250106_142400.jpg,S/S bodysuits x 2 and 2 leggings - Bear set
Sets,0–3 months,baby_clothes_photos/baby_clothes_photos\20250106_141832.jpg,Woodland bears and squirrels x 2
Sets,0–3 months,baby_clothes_photos/baby_clothes_photos\20250106_142350.jpg,Bear set - bodysuits and leggings x 2
Sets,0–3 months,baby_clothes_photos/baby_clothes_photos\17361739469542059428340218939117.jpg,Sophie La Giraffe
Sets,0–3 months,baby_clothes_photos/baby_clothes_photos\20250106_143335.jpg,Pink rabbit woodland 
Dungarees,0–3 months,baby_clothes_photos/baby_clothes_photos\20250106_143346.jpg,Pink rabbit dungaree 
Dungarees,0–3 months,baby_clothes_photos/baby_clothes_photos\20250106_143427.jpg,Green koala dungaree
Dungarees,3–6 months,baby_clothes_photos/baby_clothes_photos\20250106_143438.jpg,Pink polka dungarees
Dungarees,0–3 months,baby_clothes_photos/baby_clothes_photos\20250106_144724.jpg,Brown cord dungaree dress
Pants,0–3 months,baby_clothes_photos/baby_clothes_photos\20250106_150230.jpg,Fox 3 pants
Bodysuits,9–12 months,baby_clothes_photos/baby_clothes_photos\20250106_150245.jpg,Blue winnie all in one
Tops,3–4 years,baby_clothes_photos/baby_clothes_photos\20250106_150259.jpg,Tiny acorns long sleeve top
Dresses,9–12 months,baby_clothes_photos/baby_clothes_photos\20250106_150329.jpg,Red velvet dress
Sets,3–6 months,baby_clothes_photos/baby_clothes_photos\20250106_150349.jpg,Plain Navy rib knit long top and bottoms 
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\20250106_150551.jpg,Lion King l/s bodysuit x 3
Bodysuits,9–12 months,baby_clothes_photos/baby_clothes_photos\20250106_150623.jpg,Christmas Minnie knitted bodysuit
Jumpers,9–12 months,baby_clothes_photos/baby_clothes_photos\20250106_150647.jpg,Minnie Christmas jumper
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\20250106_150706.jpg,Basic s/s bodysuits
Home,No age,baby_clothes_photos/baby_clothes_photos\20250106_154205.jpg,Paddington Bear muslins
Home,0–3 months,baby_clothes_photos/baby_clothes_photos\20250106_154250.jpg,Rattle
Dungarees,3–6 months,baby_clothes_photos/baby_clothes_photos\20250106_154332.jpg,Jurassic Park dungarees
Dresses,3–6 months,baby_clothes_photos/baby_clothes_photos\20250106_154348.jpg,Jumper dress navy polka
Dungarees,0–3 months,baby_clothes_photos/baby_clothes_photos\20250106_154417.jpg,Denim dungaree dress
Tops,6–9 months,baby_clothes_photos/baby_clothes_photos\20250106_154447.jpg,Basic l/s tops
Dungarees,0–3 months,baby_clothes_photos/baby_clothes_photos\20250106_154511.jpg,Dinosaur dungaree
Sets,3–6 months,baby_clothes_photos/baby_clothes_photos\20250106_154553.jpg,Peter Rabbit bodysuits + trousers
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\20250106_154611.jpg,Peter Rabbit 
Accessories,6–9 months,baby_clothes_photos/baby_clothes_photos\20250106_154629.jpg,Dinosaur woolly hat and mits
Dresses,3–6 months,baby_clothes_photos/baby_clothes_photos\20250106_154656.jpg,White dress
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\20250106_154714.jpg,Custard yellow floral summer bodysuit
Bodysuits,9–12 months,baby_clothes_photos/baby_clothes_photos\17361820892437860994178895726209.jpg,Snorlax
Jackets,12–18 months,baby_clothes_photos/baby_clothes_photos\1736182226708443130035628945134.jpg,Wool coat
Dungarees,24–36 months,baby_clothes_photos/baby_clothes_photos\17361822947968076487754107017458.jpg,Denim Dungarees
Dresses,24–36 months,baby_clothes_photos/baby_clothes_photos\17361823684352876035176320776105.jpg,Corduroy floral burgundy dress
Sets,24–36 months,baby_clothes_photos/baby_clothes_photos\17361824741102546924843453632155.jpg,L/S top and yellow shorts
Dresses,4–5 years,baby_clothes_photos/baby_clothes_photos\17361825534363839174957517346076.jpg,Multicolored check dress
Dresses,24–36 months,baby_clothes_photos/baby_clothes_photos\17361826365731999327088960943408.jpg,Red check dress
Tops,4–5 years,baby_clothes_photos/baby_clothes_photos\17361827310998109511092184233776.jpg,Robin navy patterned dress
Sets,12–18 months,baby_clothes_photos/baby_clothes_photos\17361828485742772038589931971094.jpg,Hippy sunshine set
Sets,12–18 months,baby_clothes_photos/baby_clothes_photos\17361829262971649338945080042317.jpg,Linen short set
Dresses,24–36 months,baby_clothes_photos/baby_clothes_photos\17361829838975451119619816639255.jpg,Lime green dress
Dungarees,24–36 months,baby_clothes_photos/baby_clothes_photos\17361832002554100088483265426687.jpg,Mickey dungaree
Dungarees,24–36 months,baby_clothes_photos/baby_clothes_photos\17361832646642382485775051740682.jpg,Mickey dungaree dress
Accessories,0–3 months,baby_clothes_photos/baby_clothes_photos\17361833008894817585089037570945.jpg,Mickey woolly hat
Accessories,3–4 years,baby_clothes_photos/baby_clothes_photos\17361833835694784373671982646078.jpg,Floral swimsuit
Sets,18–24 months,baby_clothes_photos/baby_clothes_photos\17361834354975570781522680674009.jpg,Hippy sunshine top
Pants,3–4 years,baby_clothes_photos/baby_clothes_photos\17361835057068740034491816385153.jpg,Shark shorts
Bodysuits,12–18 months,baby_clothes_photos/baby_clothes_photos\17361838166112960509753458615794.jpg,Beige floral
Tops,4–5 years,baby_clothes_photos/baby_clothes_photos\1736183912466986142595742475423.jpg,Squirrel l/s top
Jumpers,4–5 years,baby_clothes_photos/baby_clothes_photos\17361839779442774795855529369491.jpg,Nature jumper
Tops,12–18 months,baby_clothes_photos/baby_clothes_photos\17361840902151232397886550981829.jpg,L/S top
Dresses,0–3 months,baby_clothes_photos/baby_clothes_photos\17361841929551336274540286054096.jpg,Laura Ashley patchwork
Tops,18–24 months,baby_clothes_photos/baby_clothes_photos\17361843072772666506906281146457.jpg,Reindeer pouch l/s top
Pants,3–6 months,baby_clothes_photos/baby_clothes_photos\17361844754903999284862954557870.jpg,Disney character sweat pants
Dresses,3–6 months,baby_clothes_photos/baby_clothes_photos\17361845310401970070994153429045.jpg,Winnie the pooh dress
Sets,0–3 months,baby_clothes_photos/baby_clothes_photos\17361846991096999098030332625511.jpg,Yellow winnie top and pant set
Bodysuits,12–18 months,baby_clothes_photos/baby_clothes_photos\17361847348615585966821894182002.jpg,Winnie little one white bodysuit
Sets,9–12 months,baby_clothes_photos/baby_clothes_photos\17361848231046177447936390411926.jpg,Legging and jumper set
Dungarees,3–6 months,baby_clothes_photos/baby_clothes_photos\17361848961857346720815964593400.jpg,Cord polka dungaree and sweater 
Sets,24–36 months,baby_clothes_photos/baby_clothes_photos\17361849589956007931692339894454.jpg,Top and skirt linen set
Accessories,0–3 months,baby_clothes_photos/baby_clothes_photos\17361850110773364361443643975227.jpg,Winnie Bibs x 3
Accessories,0–3 months,baby_clothes_photos/baby_clothes_photos\17361850595028744041652710912813.jpg,Woodland bibs x 3
Accessories,0–3 months,baby_clothes_photos/baby_clothes_photos\17361850866988778721710509726847.jpg,Elephant grey bibs
Home,0–3 months,baby_clothes_photos/baby_clothes_photos\17361851179363282543059456741136.jpg,Dumbo muslins x 3
Accessories,0–3 months,baby_clothes_photos/baby_clothes_photos\17361851407353697916480778089113.jpg,Socks polka
Accessories,6–9 months,baby_clothes_photos/baby_clothes_photos\17361851822122709078130965011935.jpg,Knee high socks
Accessories,12–18 months,baby_clothes_photos/baby_clothes_photos\17361852310717977359429090392157.jpg,Socks
Accessories,0–3 months,baby_clothes_photos/baby_clothes_photos\1736185252362520177515259694545.jpg,Frilly socks
Accessories,0–3 months,baby_clothes_photos/baby_clothes_photos\1736185281464208383757018741541.jpg,Koala rattle socks
Accessories,6–9 months,baby_clothes_photos/baby_clothes_photos\1736185310055552699172632023682.jpg,Socks
Accessories,0–3 months,baby_clothes_photos/baby_clothes_photos\17361853480791986424320390634152.jpg,Scratch mitts
Accessories,0–3 months,baby_clothes_photos/baby_clothes_photos\17361853831074845004043347283608.jpg,Scratch mitts x 2
Accessories,3–6 months,baby_clothes_photos/baby_clothes_photos\17361854255095974250284855228959.jpg,Scratch mitts
Shoes,9–12 months,baby_clothes_photos/baby_clothes_photos\17361854671973240895427552976677.jpg,Blue sandals
Shoes,3–6 months,baby_clothes_photos/baby_clothes_photos\17361855009608370112137793847679.jpg,Bear slippers
Shoes,3–6 months,baby_clothes_photos/baby_clothes_photos\17361855540578753603663516576832.jpg,Bee slippers
Shoes,12–18 months,baby_clothes_photos/baby_clothes_photos\17361855890384759086651392850247.jpg,Bee slippers
Shoes,6–9 months,baby_clothes_photos/baby_clothes_photos\17361856262203727304482756702358.jpg,Beige sandal
Home,No age,baby_clothes_photos/baby_clothes_photos\17361856669905018966425187876576.jpg,Winnie Bath towel with hat
Home,No age,baby_clothes_photos/baby_clothes_photos\17361857163027828770253768798951.jpg,Winnie the pooh bath towel pink
Accessories,12–18 months,baby_clothes_photos/baby_clothes_photos\17361857848977454720003684620730.jpg,Waterproof smock
Sleepwear,6–9 months,baby_clothes_photos/baby_clothes_photos\17361858521251363871633476553589.jpg,2.5 tog sleeping bag
Sleepwear,6–9 months,baby_clothes_photos/baby_clothes_photos\17361859364794446056907314693576.jpg,2.5 tog sleeping bag
Sleepwear,6–9 months,baby_clothes_photos/baby_clothes_photos\17361860023196718056673364553706.jpg,2.5 tog sleeping bag 
Sleepwear,6–9 months,baby_clothes_photos/baby_clothes_photos\17361860367024021327932304831242.jpg,2.5 tog sleeping bag
Home,No age,baby_clothes_photos/baby_clothes_photos\17361861238958252690099288647427.jpg,Pooh fitted sheet x 2 
Home,No age,baby_clothes_photos/baby_clothes_photos\17361861816826747456816407785028.jpg,Pooh duvet cover and pillow case
Home,No age,baby_clothes_photos/baby_clothes_photos\17361862192975378673148810330598.jpg,Dumbo quilt 4 tog
Home,No age,baby_clothes_photos/baby_clothes_photos\17361862568813150237715560387840.jpg,Pooh quilt 4 tog
Accessories,0–3 months,baby_clothes_photos/baby_clothes_photos\17361863032844121004315896118586.jpg,Caps x 2
Accessories,6–9 months,baby_clothes_photos/baby_clothes_photos\17361863371001561774725879080608.jpg,Knitted pink bonnet
Accessories,6–9 months,baby_clothes_photos/baby_clothes_photos\1736186378455904480682133821256.jpg,Pooh knitted bobble hat
Accessories,6–9 months,baby_clothes_photos/baby_clothes_photos\17361864216912749641060867125547.jpg,Pink knitted hat
Accessories,6–9 months,baby_clothes_photos/baby_clothes_photos\17361864493153741547135038551469.jpg,Beige sun hat
Accessories,6–9 months,baby_clothes_photos/baby_clothes_photos\17361864825957589981083636320215.jpg,Yellow knitted bonnet
Accessories,3–6 months,baby_clothes_photos/baby_clothes_photos\17361865203146502671162030795396.jpg,Cap
Accessories,18–24 months,baby_clothes_photos/baby_clothes_photos\17361865535842620228078298031223.jpg,Summer hat
Accessories,12–18 months,baby_clothes_photos/baby_clothes_photos\17361865841772753255844264618010.jpg,Summer hat
Home,No age,baby_clothes_photos/baby_clothes_photos\17361940277287871146231163798793.jpg,Changing Mat
Jackets,3–4 years,baby_clothes_photos/baby_clothes_photos\17361940888143158227529028928813.jpg,Waterproof bodysuit
Home,No age,baby_clothes_photos/baby_clothes_photos\17361941365077736138039537628584.jpg,"3 x blankets, cot wraps, muslins and swaddles"
Tops,3–6 months,baby_clothes_photos/baby_clothes_photos\17371180232315655986875447759385.jpg,HAPPY CREW 3 piece l/s tops
Jumpers,0–3 months,baby_clothes_photos/baby_clothes_photos\17371181000838758985223179119155.jpg,Little pud christmas jumper
Sets,0–3 months,baby_clothes_photos/baby_clothes_photos\17371181915818542677201407518986.jpg,Lilo and Stitch l/s top and legging set
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\1737118554780894958542995358674.jpg,Sophie la Giraffe 3 piece bodysuit set
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\17371186525294879002903447841628.jpg,Green bear bodysuits x 2
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\17371194954414922369878143102479.jpg,Blue dinosaurs in space bodysuit 
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\173711968381428826803404392514.jpg,Acorn long bodysuit 
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17371197277087206442114426254594.jpg,Sophie La Giraffe long bodysuits x 2
Sets,3–6 months,baby_clothes_photos/baby_clothes_photos\17371197814338910238409021029409.jpg,Casper the friendly ghost jumper and leggings
Tops,3–6 months,baby_clothes_photos/baby_clothes_photos\20250120_171355.jpg,floral top with thrill neckline
Jumpers,0–3 months,baby_clothes_photos/baby_clothes_photos\20250120_171311.jpg,bambi and jumper jumper
Jumpers,3–6 months,baby_clothes_photos/baby_clothes_photos\20250120_171228.jpg,mustard yellow jumper with thrill neckline
Dungarees,9–12 months,baby_clothes_photos/baby_clothes_photos\20250120_171701.jpg,lion and zebra dungaree with striped top
Dungarees,0–3 months,baby_clothes_photos/baby_clothes_photos\20250120_171855.jpg,"blue dungaree with polka dots and white top, mushrooms houses."
Jumpers,18–24 months,baby_clothes_photos/baby_clothes_photos\20250120_172102.jpg,fox jumper
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\20250120_172212.jpg,5x  disney primark body suits L/S
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434396129098179087358510824179.jpg,Winnie the Pooh bodysuit dress
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434396736001349042910075687601.jpg,Winnie the Pooh bodysuit frill collar
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434397121967158733043021928887.jpg,Winnie the Pooh velour bodysuit
Tops,0–3 months,baby_clothes_photos/baby_clothes_photos\17434397678818710072741907541653.jpg,Toolbox boat tshirt
Knitwear,0–3 months,baby_clothes_photos/baby_clothes_photos\17434398204615025674611676554400.jpg,Blue matinee cardigan
Dresses,0–3 months,baby_clothes_photos/baby_clothes_photos\17434399052799143428228699699820.jpg,Pink ticking dress
Dresses,0–3 months,baby_clothes_photos/baby_clothes_photos\1743439959287427975671687434189.jpg,Bambi Pink Corduroy Dress
Accessories,0–3 months,baby_clothes_photos/baby_clothes_photos\17434400275054993558989547295125.jpg,Seashell swimsuit 
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434400995648877667747869779697.jpg,Woodland friends bodysuit set
Dungarees,0–3 months,baby_clothes_photos/baby_clothes_photos\17434401892943040768645321658642.jpg,Disney Dalmatians dungaree set and socks
Dungarees,0–3 months,baby_clothes_photos/baby_clothes_photos\17434402358164631580553377095951.jpg,Floral pink dungaree 
Knitwear,0–3 months,baby_clothes_photos/baby_clothes_photos\17434402869911867776162376361993.jpg,Knitted aqua jumper and pants
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434403727437644819278557103503.jpg,Giraffe bodysuits x 3
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434405239575071819785459726404.jpg,Winnie the Pooh set
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434405697021651829479455904959.jpg,Fox bodysuit
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434406694232237690212774758066.jpg,Tractor bodysuit set x 7
Sets,0–3 months,baby_clothes_photos/baby_clothes_photos\17434407696926758312522763845709.jpg,Grow together mushroom set
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\1743440920669675230923179033628.jpg,Elephant bodysuit set x 7
Dresses,0–3 months,baby_clothes_photos/baby_clothes_photos\17434409807248354467863252448206.jpg,Jasper Conran Navy polka dress
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434411022129146492473416807568.jpg,Winnie the pooh yellow bodysuit set
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\1743441194322967081940510600507.jpg,Beige mushroom bodysuit set
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434415254992782723727881036306.jpg,Winnie the Pooh love bodysuit set
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\17434427603754632775397985702944.jpg,Peter rabbit bodysuit set
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\17434428799374883665449209121707.jpg,Green elephant bodysuit set 
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\17434430058033723699326418138574.jpg,Green and cream elephant bodysuit set
Dungarees,3–6 months,baby_clothes_photos/baby_clothes_photos\1743443046888559914270101787555.jpg,Green dungarees 
Knitwear,3–6 months,baby_clothes_photos/baby_clothes_photos\17434431697135076729404171051669.jpg,Koala jumper
Knitwear,3–6 months,baby_clothes_photos/baby_clothes_photos\17434432108791616222697842933289.jpg,Purple fairisle jumper
Dungarees,3–6 months,baby_clothes_photos/baby_clothes_photos\17434432515795213045779775132110.jpg,Fluffy reindeer dungaree 
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\1743443294481983763560633442709.jpg,Guess how much I love you pink bodysuit
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\1743443322072810822048096714064.jpg,Floral bee bodysuit
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\1743443363338410637402168575196.jpg,Winnie the Pooh button down corduroy bodysuit
Dresses,3–6 months,baby_clothes_photos/baby_clothes_photos\17434434319335841470081848274704.jpg,Nautical beach dress
Pants,3–6 months,baby_clothes_photos/baby_clothes_photos\17434434915978542116100054259851.jpg,Brown soft pants
Dresses,18–24 months,baby_clothes_photos/baby_clothes_photos\20250504_170106.jpg,blue pin stripe dress
